Language,language family,secondary family,ISO code,Stress system type,Rightward primary stress,Consonant duration,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s),"Uses contrastive length, duration is a correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast,,"Duration is a correlate, something written as a primary correlate","REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 1 REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 2 REMOVE: duration is a correlate, something written as primary correlate",Trying for pitch to make sure the same thing is true,,TO REMOVE FOR CONSONANT DURATION: duration primary correlate,oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate,"TO REMOVE FOR CONSONANT DURATION: pitch primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes pitch","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes intensity",oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,"oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes pitch",,"TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration correlate","TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration not correlate",,"Have one stress per word, have rightward stress; 1=final stress","Have final stress, pitch as correlate","Have final stress, pitch not a correlate",,"Have vowel reduction, have duration as a correlate","Have vowel reduction, don't have duration as a correlate","Don't have vowel reduction, have duration as a correlate","Don't have vowel reduction, don't have duration as a correlate",,"Has vowel reduction, is binary","Has vowel reduction, is not binary","Doesn't have vowel reduction, is binary","Doesn't have vowel reduction, is not binary",,"Has vowel reduction, has duration as a correlate, is binary","Has vowel reduction, doesn't have duration as a correlate, is binary","Doesn't have vowel reduction, has duration as a correlate, is binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is binary",,"Has vowel reduction, has duration as a correlate, is not binary","Has vowel reduction, doesn't have duration as a correlate, is not binary","Doesn't have vowel reduction, has duration as a correlate, is not binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is not binary",,"Just checking: Intensity is primary correlate, intensity is not a correlate","Just checking: Pitch is primary correlate, pitch is not a correlate","Duration is primary correlate, duration is not a correlate","Length contrasts, duration is primary correlate","Length contrasts, duration is not primary correlate (but is still correlate); includes blanks","Length contrasts, duration is not primary correlate (but is still correlate); NO blanks","Length does not contrast, duration is primary correlate","Length does not contrast, duration is not primary correlate (but is still a correlate); includes blanks","Length does not contrast, duration is not primary correlate (but is still a correlate); NO blanks","TO REMOVE FROM DURATION: length contrasts, duration is primary correlate","TO REMOVE FROM DURATION: length contrasts, duration is not primary correlate but still a correlate)","TO REMOVE FROM DURATION: length does not contrast, duration is primary correlate","TO REMOVE FROM DURATION: length does not contrast, duration is not primary correlate (but is still a correlate)",,"Pitch contrasts, pitch is a primary correlate","Pitch does not contrast, pitch is a primary correlate","Pitch contrasts, pitch is not a primary correlate","Pitch does not contrast, pitch is not a primary correlate",,Has intensity AND has pitch,Has intensity and DOES NOT have pitch,"Does NOT have intensity, HAS pitch",Has intensity AND pitch and DOES NOT have duration,Has duration AND intensity but NOT pitch,Has duration AND pitch but NOT intensity,,"Is binary, has final lapse","Is binary, does not have final lapse","Has final lapse, has duration as a correlate","Has final lapse, does not have duration as a correlate","Does not have final lapse, has duration as a correlate","Does not have final lapse, does not have duration as a correlate",,"Has final lapse, has duration as a correlate, is leftward","Has final lapse, does not have duration as a correlate, is leftward","Does not have final lapse, has duration as a correlate, is leftword","Does not have final lapse, does not have duration as a correlate, is leftword",,"Has final lapse, is leftward","Does not have final lapse, is leftward","Has final lapse, is rightward","Does not have final lapse, is rightward"
Nhanda,Austronesian,Malayo-Polynesian,,0,1,,1,0,0,1,1,1,,0,,,"Taff et al. (2001), Bergsland (1997)",TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic (Ammani-Jordanian),Australian,West Barkly,,1,1,,0,1,1,,0,1,,0,1,,Lynch (2000),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,
Welsh,Indo-European,Hellenic,,1,1,,0,1,0,2,0,1,,0,1,1,"Pickering (1971/2009), da Silva Facundes, (2000)",,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,
Yaruro,Austronesian,Malayo-Polynesian,,0,0,3,1,0,1,,0,1,,0,,,Rich (1963),TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Irarutu,Sino-Tibetan,Pama-Nyungan,,0,1,,1,1,1,,0,2,,0,,,"de Jong & Zawaydeh (1999), Zawaydeh & Davis (1999)",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Trio/Tiriyó,Austronesian,Malayo-Polynesian,,0,0,,0,1,0,2,0,0,1,0,,,Cowell (1964),,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Yimas,Eskimo–Aleut,Aleut,,1,1,,1,1,1,,0,1,,0,1,1,Mihas (2010),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Hungarian,Mongolic,Shirongolic,,1,1,,0,1,1,,0,0,,0,0,,Quigley (2003),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Ngigua,Indo-European,Slavic,,2,0,,0,1,1,,0,0,,0,,,Feldman (1986),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Norwegian,Isolate,,,0,1,,0,1,1,,0,0,1,0,,,"Li (1986), Chuluu (1994), Hugjiltu (2003)",,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,1,,1,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
